Event,Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],Temp[C]
1,704,344,64.67,101,24.34
2,1327,224,38.29,132,24.44
3,1620,319,57.64,136,24.23
4,2306,83,20.46,167,24.34
5,3049,295,51.75,197,24.34
6,3121,327,59.28,201,24.34
7,4067,327,59.28,232,24.44
8,4328,177,30.25,236,24.23
9,4595,109,22.7,240,24.34
10,5488,455,117.03,270,23.8
11,5569,67,18.51,274,24.23
12,5672,76,19.69,279,24.34
13,7087,739,495.61,336,24.34
14,7189,179,30.55,340,23.91
15,8351,483,132.6,371,24.12
16,8748,515,147.53,376,24.12
17,9462,339,62.98,410,24.01
18,9642,71,19.06,414,24.01
19,9846,323,58.48,418,24.23
20,9975,115,23.18,422,24.23
21,10466,143,25.74,453,24.34
22,10775,385,80.11,457,24.23
23,10814,63,17.91,461,24.23
24,11047,568,189.84,492,24.34
25,11378,101,22.08,497,24.44
26,12803,263,45.37,528,24.34
27,13081,172,29.49,560,24.34
28,15153,300,52.79,617,24.23
29,16036,103,22.23,648,24.44
30,17367,440,109.25,678,24.34
31,17793,56,16.76,682,24.34
32,17862,103,22.23,686,24.34
33,19111,312,55.68,744,24.23
34,19819,713,333.08,748,24.23
35,20361,69,18.79,783,24.23
36,20782,79,20.03,788,24.12
37,21989,99,21.91,818,24.34
38,22686,432,101.61,848,24.34
39,23468,79,20.03,881,24.34
40,24251,460,119.54,912,24.23
41,24260,127,24.18,916,24.34
42,24773,127,24.18,921,24.34
43,26340,197,33.52,979,24.12
44,27249,167,28.76,1010,24.23
45,28471,275,47.73,1041,24.44
46,29389,217,37.04,1073,24.34
47,29989,332,61.17,1077,24.34
48,30059,88,20.96,1109,24.34
49,31902,63,17.91,1140,24.34
50,32001,460,119.54,1145,24.01
51,34319,179,30.55,1234,24.44
52,35493,62,17.75,1265,24.34
53,35982,371,73.82,1270,24.23
54,36157,92,21.32,1302,24.44
55,36198,97,21.75,1306,24.44
56,36392,69,18.79,1310,24.44
57,37478,112,22.94,1341,24.12
58,37560,63,17.91,1346,24.23
59,38060,423,97.36,1377,24.44
60,38079,71,19.06,1381,23.91
61,39326,56,16.76,1412,24.23
62,40372,518,151.06,1443,24.44
63,42305,467,121.56,1508,24.01
64,43390,499,141.24,1542,24.44
65,43647,135,24.92,1547,24.12
66,45104,99,21.91,1606,24.01
67,45306,108,22.63,1610,24.23
68,45702,57,16.93,1614,24.34
69,45735,280,48.67,1619,24.34
70,46693,78,19.92,1651,24.01
71,46989,145,25.96,1655,24.23
72,47115,98,21.83,1686,24.34
73,48602,451,113.08,1717,24.44
74,48792,99,21.91,1721,24.01
75,50315,295,51.75,1779,24.34
76,50411,323,58.48,1784,24.44
77,50895,639,249.88,1788,24.34
78,52043,120,23.58,1852,24.23
79,52709,60,17.43,1857,24.23
80,52840,78,19.92,1862,24.34
81,53237,224,38.29,1892,24.34
82,53458,440,109.25,1897,24.34
83,53527,70,18.93,1901,24.12
