Event,Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],Temp[C]
1,104,78,19.92,101,24.34
2,809,335,61.77,105,24.34
3,907,444,109.09,109,24.34
4,1084,275,47.73,141,24.44
5,2184,408,90.57,172,24.34
6,2774,103,22.23,176,24.44
7,3236,263,45.37,206,24.44
8,3282,499,141.24,211,24.44
9,3718,167,28.76,215,24.34
10,3947,127,24.18,219,24.44
11,3979,51,15.86,223,24.34
12,4208,451,113.08,253,24.34
13,4346,639,249.88,257,24.34
14,4576,478,129.43,261,24.44
15,5386,67,18.51,296,24.44
16,5933,385,80.11,301,24.44
17,6050,98,21.83,333,24.34
18,6248,60,17.43,337,24.34
19,6677,112,22.94,342,24.44
20,6835,113,23.02,346,24.44
21,7688,327,59.28,377,24.44
22,7720,575,187.3,381,24.44
23,8383,313,56.02,416,24.34
24,8544,240,41.21,420,24.44
25,9074,127,24.18,452,24.34
26,9198,435,104.92,456,24.34
27,9224,61,17.6,460,24.44
28,9455,99,21.91,465,24.44
29,9538,335,61.77,469,24.34
30,9614,92,21.32,473,24.23
31,10461,173,29.64,504,24.34
32,11189,270,46.71,535,24.34
33,11263,131,24.54,540,24.34
34,12257,70,18.93,572,24.34
35,12981,98,21.83,577,24.44
36,13100,108,22.63,608,24.34
37,14470,71,19.06,639,24.34
38,14653,57,16.93,643,24.44
39,15183,530,159.82,674,24.34
40,15344,167,28.76,679,24.34
41,15485,51,15.86,683,24.34
42,15749,89,21.05,687,24.34
43,15951,57,16.93,691,24.44
44,16180,227,38.83,721,24.34
45,16349,222,37.96,725,24.34
46,16535,421,97.33,729,24.34
47,16609,92,21.32,733,24.44
48,19181,158,27.53,818,24.44
49,19540,140,25.42,822,24.44
50,20073,440,109.25,854,24.12
51,21088,371,73.82,887,24.34
52,21368,135,24.92,891,24.34
53,21467,327,59.28,896,24.34
54,21935,192,32.67,900,24.34
55,21997,465,122.12,904,24.44
56,22325,97,21.75,935,24.34
57,22511,355,68.3,939,24.34
58,23696,71,19.06,971,24.44
59,24477,97,21.75,1001,24.34
60,24675,79,20.03,1005,24.44
61,24713,300,52.79,1009,24.23
62,24809,156,27.28,1014,24.01
63,25247,71,19.06,1045,24.44
64,25805,135,24.92,1050,24.23
65,26222,227,38.83,1082,24.34
66,26521,295,51.75,1087,24.34
67,26734,492,134.92,1092,24.34
68,27050,362,70.92,1127,24.34
69,29207,409,91.12,1187,24.44
70,29316,220,37.58,1191,24.34
71,30418,62,17.75,1222,24.44
72,31725,298,52.37,1253,24.34
73,32031,287,50.23,1285,24.44
74,32579,307,54.48,1289,24.44
75,32810,83,20.46,1293,24.34
76,33926,241,41.39,1324,24.34
77,34429,402,87.25,1356,24.34
78,34738,53,16.22,1360,24.34
79,35515,423,97.36,1390,24.44
80,36167,304,53.73,1423,24.44
81,36905,408,90.57,1427,24.34
82,37035,83,20.46,1459,24.44
83,37146,169,29.05,1463,24.34
84,37208,127,24.18,1467,24.44
85,37217,671,277.06,1472,24.44
86,37636,117,23.34,1476,24.34
87,38311,371,73.82,1508,24.34
88,38565,58,17.1,1512,24.34
89,38575,398,85.63,1517,24.34
90,38787,60,17.43,1521,24.44
91,39034,323,58.48,1552,24.34
92,39423,243,41.74,1556,24.44
93,40309,56,16.76,1588,24.44
94,41703,49,15.48,1619,24.34
95,42560,81,20.25,1649,24.34
96,42813,291,50.97,1653,24.23
97,45622,71,19.06,1741,24.34
98,46570,152,26.78,1772,24.34
99,46613,49,15.48,1776,24.34
100,46934,291,50.97,1780,24.34
101,47247,199,33.86,1813,24.44
102,47427,57,16.93,1817,24.34
103,47498,284,49.41,1822,24.44
104,48431,318,57.28,1855,24.44
105,48742,79,20.03,1859,24.44
106,48919,335,61.77,1863,24.44
107,49476,480,130.21,1895,24.23
108,50446,121,23.66,1930,24.44
109,51189,88,20.96,1962,24.34
110,51242,62,17.75,1966,24.23
111,51420,112,22.94,1971,24.34
112,51739,152,26.78,1976,24.23
113,52303,63,17.91,2007,24.23
114,52417,492,134.92,2012,24.44
