Event,Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],Temp[C]
1,3977,460,119.54,0,24.44
2,7235,158,27.53,5,24.66
3,7398,153,26.9,10,24.44
4,8617,63,17.91,15,24.44
5,8748,355,68.3,20,24.44
6,9047,455,117.03,25,24.44
7,10284,163,28.2,30,24.44
8,11732,307,54.48,35,24.44
9,12089,334,61.44,40,24.44
10,13445,57,16.93,45,24.44
11,14271,463,119.23,50,24.44
12,15707,224,38.29,55,24.44
13,18000,449,112.05,60,24.44
14,19124,158,27.53,65,24.44
15,20290,399,87.3,70,24.44
16,21453,51,15.86,75,24.44
17,22821,143,25.74,80,24.44
18,23687,179,30.55,85,24.44
19,24336,295,51.75,90,24.44
20,24531,335,61.77,95,24.44
21,27984,280,48.67,100,24.44
22,29163,293,51.29,105,24.44
23,31108,71,19.06,110,24.44
24,31157,312,55.68,115,24.44
25,31497,163,28.2,120,24.44
26,32886,142,25.64,125,24.44
27,36382,275,47.73,130,24.44
28,38049,376,76.43,135,24.44
29,39248,295,51.75,140,24.44
30,39597,103,22.23,145,24.44
31,44315,231,39.55,150,24.44
32,44396,352,66.89,155,24.44
33,45171,294,51.51,160,24.44
34,49673,69,18.79,165,24.44
35,51497,419,97.2,170,24.44
36,52042,403,88.99,175,24.44
37,52344,345,64.98,180,24.44
38,54618,403,88.99,185,24.44
39,55641,462,120.87,190,24.44
40,56759,368,72.93,195,24.44
41,56971,60,17.43,200,24.44
42,57163,524,150.73,205,24.44
43,60565,319,57.64,210,24.44
44,61173,455,117.03,215,24.44
45,62579,224,38.29,220,24.44
46,63996,122,23.75,225,24.44
47,66323,152,26.78,230,24.44
48,73645,463,119.23,235,24.44
49,73772,248,42.69,240,24.44
50,74053,159,27.66,245,24.44
51,75457,339,62.98,250,24.44
52,78986,185,31.51,255,24.44
53,85618,143,25.74,260,24.44
54,89656,63,17.91,265,24.44
55,89871,391,82.35,270,24.44
56,90509,591,188.65,275,24.44
57,91028,83,20.46,280,24.44
58,98002,103,22.23,285,24.44
59,100850,199,33.86,290,24.44
60,102258,51,15.86,295,24.44
61,103933,415,95,300,24.44
62,105646,231,39.55,305,24.44
63,105805,206,35.07,310,24.44
64,107329,140,25.42,315,24.44
65,111133,255,43.96,320,24.44
66,111404,368,72.93,325,24.44
67,111844,83,20.46,330,24.44
68,114044,225,38.48,335,24.66
69,114100,159,27.66,340,24.44
70,115579,319,57.64,345,24.44
71,115854,295,51.75,350,24.44
72,116190,60,17.43,355,24.44
73,119143,339,62.98,360,24.44
74,122068,217,37.04,365,24.44
75,124371,295,51.75,370,24.44
76,125032,152,26.78,375,24.44
77,130956,433,104.37,380,24.44
78,131489,408,90.57,385,24.44
79,131924,472,125.87,390,24.44
80,134658,271,46.93,395,24.44
81,134971,377,76.28,400,24.44
82,135533,430,101.41,405,24.44
83,135540,316,56.81,410,24.87
84,137158,149,26.42,415,24.44
85,138633,224,38.29,420,24.44
86,139578,254,43.77,425,24.44
87,141113,213,36.33,430,24.44
88,141759,335,61.77,435,24.44
89,142692,240,41.21,440,24.44
90,144009,287,50.23,445,24.44
91,145425,435,104.92,450,24.44
92,147448,280,48.67,455,24.44
93,148823,96,21.67,460,24.44
94,149286,163,28.2,465,24.44
95,150313,109,22.7,470,24.44
96,150499,451,113.08,475,24.44
97,151989,326,59.13,480,24.44
98,153604,339,62.98,485,24.44
99,154265,371,73.82,490,24.44
100,157282,115,23.18,495,24.44
101,161947,318,57.28,500,24.66
102,162339,463,119.23,505,24.44
103,162380,226,38.63,510,24.44
104,163151,319,57.64,515,24.44
105,165329,253,43.55,520,24.44
106,165571,423,97.36,525,24.44
107,165945,199,33.86,530,24.44
108,166896,384,80.08,535,24.66
109,167998,440,109.25,540,24.44
110,169715,295,51.75,545,24.44
111,173786,327,59.28,550,24.44
112,174556,376,76.43,555,24.44
113,174714,103,22.23,560,24.44
114,178084,462,120.87,565,24.44
115,179239,101,22.08,570,24.44
116,179443,76,19.69,575,24.44
117,180436,76,19.69,580,24.44
118,180743,319,57.64,585,24.44
119,182118,270,46.71,590,24.44
120,185658,359,69.86,595,24.44
121,185939,376,76.43,600,24.44
122,188631,361,70.62,605,24.44
123,188922,102,22.15,610,24.44
124,191308,440,109.25,615,24.44
125,192663,63,17.91,620,24.44
126,192736,444,109.09,625,24.44
127,193606,312,55.68,630,24.44
128,194475,568,189.84,635,24.44
129,196738,67,18.51,640,24.44
130,198017,79,20.03,645,24.44
131,199818,67,18.51,650,24.44
132,200593,226,38.63,655,24.44
133,201125,551,164.56,660,24.44
134,201882,327,59.28,665,24.77
135,203456,412,92.93,670,24.44
136,204071,241,41.39,675,24.44
137,208497,156,27.28,680,24.44
138,209930,146,26.08,685,24.44
139,210344,261,45.09,690,24.44
140,213118,335,61.77,696,24.44
141,213238,304,53.73,701,24.44
142,214502,113,23.02,706,24.44
143,217676,355,68.3,711,24.44
144,219377,408,90.57,716,24.44
145,221184,271,46.93,721,24.44
146,221284,268,46.26,726,24.44
147,221884,252,43.42,732,24.44
148,222369,307,54.48,737,24.44
149,225501,454,115.28,742,24.44
150,234474,254,43.77,747,24.44
151,235373,583,201.26,752,24.44
152,235806,230,39.39,757,24.44
153,235858,358,69.1,762,24.44
154,237445,398,85.63,767,24.44
155,238128,295,51.75,772,24.44
156,240005,455,117.03,777,24.44
157,242631,313,56.02,782,24.44
158,242970,460,119.54,787,24.44
159,243528,307,54.48,792,24.44
160,248274,335,61.77,797,24.66
161,248745,131,24.54,802,24.44
162,249544,199,33.86,808,24.44
163,251590,301,53.09,813,24.44
164,251623,318,57.28,818,24.44
165,252354,71,19.06,823,24.44
166,252991,192,32.67,828,24.44
167,254664,51,15.86,833,24.44
168,259008,455,117.03,838,24.44
169,259141,199,33.86,843,24.44
