Costco Member,Cars Owned,Driving Pref,Siblings Count,Favorite Music,Shopping Pref,Food Pref,Lactose Intolerant,Close Friends Count,Kids Count,Pet Pref,Lightsaber Color,Starter Pokemon,Daily Screen Time
Yes,1,driving,0,electronic,online shopping,Mexican,No,5,2,dog,green blue,Charmander,more than 5 hours
No,1,driving,2,pop,online shopping,Japanese,No,12,0,cat,white,Bulbasaur,more than 5 hours
Yes,1,driving,1,Alternative,online shopping,Japanese,No,5,1,dog,purple,Charmander,3 - 4 hours
Yes,1,driving,1.5,Alt,online shopping,Japanese,No,9,1,dog,orange,Squirtle,1 - 2 hours
Yes,1,driving,0,R & B,in person shopping,Japanese,No,8,0,dog,purple,Charmander,more than 5 hours
Yes,1,driving,0,rap,online shopping,Chinese,No,6,3,cat,purple,Charmander,more than 5 hours
Yes,1,other transportation,1,pop,in person shopping,Mexican,No,5,1,cat,purple,Squirtle,1 - 2 hours
Yes,2,driving,2,rap,online shopping,Mexican,No,2,0,dog,white,none,3 - 4 hours
Yes,3,driving,2,rock,online shopping,Chinese,No,3,1,dog,black,Squirtle,3 - 4 hours
Yes,1,driving,2,Rock of the Yacht variety,in person shopping,Italian,Yes,10,0,dog,green blue,Charmander,more than 5 hours
Yes,1,driving,2,pop,in person shopping,Japanese,Yes,5,0,dog,purple,Charmander,3 - 4 hours
Yes,1,other transportation,3,Mexican Banda,in person shopping,Japanese,Yes,3,0,cat,yellow,Squirtle,3 - 4 hours
No,1,driving,2,R & B,in person shopping,Mexican,Yes,500,0,dog,red,none,3 - 4 hours
No,0,other transportation,2,pop,online shopping,Italian,No,19,0,cat,purple,Bulbasaur,more than 5 hours
Yes,1,driving,2,pop,online shopping,Chinese,Yes,5,0,dog,purple,Bulbasaur,more than 5 hours
No,1,driving,0,R & B,in person shopping,Japanese,No,9,0,dog,purple,Charmander,3 - 4 hours
Yes,3,driving,4,kpop,in person shopping,Japanese,No,5,0,cat,green blue,Squirtle,more than 5 hours
Yes,1,driving,1,R & B,in person shopping,Mexican,No,4,1,dog,purple,Charmander,3 - 4 hours
Yes,3,driving,3,Classic Rock,online shopping,Mexican,No,5,3,neither,green blue,Charmander,1 - 2 hours
No,0,driving,0,R & B,in person shopping,Japanese,No,1,0,dog,yellow,none,more than 5 hours
No,1,driving,3,pop,in person shopping,Japanese,No,10,0,dog,red,Charmander,more than 5 hours
