Data Group,Time,Distance
A,3.8,0.91
A,3.84,0.91
A,3.8,0.91
A,6.4,1.68
A,6.35,1.68
A,6.4,1.71
A,6.41,1.71
A,2.76,0.77
A,2.71,0.77
A,2.83,0.8
A,2.79,0.8
A,2.76,0.8
B,3.82,0.91
B,3.66,0.91
B,6.27,1.68
B,6.29,1.68
B,6.27,1.71
B,6.42,1.71
B,2.69,0.77
B,2.67,0.77
B,2.78,0.8
B,2.79,0.8
B,2.78,0.8
C,3.25,0.91
C,3.24,0.91
C,6.12,1.68
C,5.37,1.68
C,5.39,1.68
C,6.15,1.71
C,5.85,1.71
C,2.65,0.77
C,2.27,0.77
C,2.29,0.77
C,2.76,0.8
C,2.77,0.8
D,3.26,0.91
D,3.28,0.91
D,5.37,1.68
D,5.41,1.68
D,5.78,1.71
D,5.83,1.71
D,5.8,1.71
D,2.3,0.77
D,2.34,0.77
D,2.8,0.8
D,2.77,0.8
E,3.4,0.91
E,3.52,0.91
E,5.64,1.68
E,6.07,1.68
E,6.24,1.68
E,5.88,1.71
E,6.02,1.71
E,6.21,1.71
E,2.43,0.77
E,2.77,0.77
E,2.75,0.8
E,2.76,0.8
F,3.64,0.91
F,3.68,0.91
F,3.64,0.91
F,6.22,1.68
F,6.19,1.68
F,6.23,1.71
F,6.12,1.71
F,6.09,1.71
F,2.77,0.77
F,2.78,0.8
F,2.74,0.8
G,3.55,0.91
G,3.6,0.91
G,6.02,1.68
G,6.16,1.68
G,6.18,1.71
G,6.21,1.71
G,2.77,0.77
G,2.78,0.77
G,2.66,0.77
G,2.75,0.8
G,2.77,0.8
G,2.78,0.8
H,3.63,0.91
H,3.61,0.91
H,6.21,1.68
H,6.22,1.68
H,6.23,1.68
H,6.23,1.71
H,6.3,1.71
H,2.76,0.77
H,2.75,0.77
H,2.79,0.8
H,2.8,0.8
I,3.61,0.91
I,3.64,0.91
I,3.66,0.91
I,6.16,1.68
I,6.1,1.68
I,6.18,1.71
I,6.14,1.71
I,2.77,0.77
I,2.69,0.77
I,2.72,0.77
I,2.76,0.8
I,2.77,0.8
J,3.63,0.91
J,3.65,0.91
J,6.15,1.68
J,6.2,1.68
J,6.19,1.71
J,6.24,1.71
J,2.71,0.77
J,2.71,0.77
J,2.71,0.77
J,2.79,0.8
J,2.78,0.8
