Event,Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],Temp[C]
1,347,120,23.58,101,24.44
2,1676,312,55.68,131,24.34
3,1895,286,49.78,135,24.34
4,2488,60,17.43,166,24.44
5,2646,56,16.76,170,24.34
6,5605,103,22.23,252,24.44
7,6592,56,16.76,282,24.44
8,8099,236,40.44,338,24.44
9,8344,185,31.51,342,24.44
10,8683,112,22.94,346,24.44
11,8757,51,15.86,350,24.44
12,9186,97,21.75,380,24.34
13,11415,70,18.93,437,24.44
14,11691,57,16.93,442,24.44
15,12616,89,21.05,472,24.44
16,15221,66,18.36,555,24.23
17,15399,327,59.28,560,24.34
18,15593,504,143.61,564,24.34
19,18753,138,25.22,659,24.34
20,20101,103,22.23,718,24.44
21,20653,63,17.91,722,24.34
22,21325,195,33.17,753,24.44
23,21897,197,33.52,757,24.34
24,22113,63,17.91,788,24.23
25,22935,115,23.18,793,24.44
26,23183,166,28.62,824,24.44
27,24094,120,23.58,855,24.44
28,26195,415,95,913,24.34
29,26771,204,34.73,917,24.44
30,27580,408,90.57,948,24.34
31,27797,163,28.2,952,24.44
32,28037,305,53.88,983,24.34
33,28324,391,82.35,987,24.44
34,28588,99,21.91,991,24.44
35,29296,114,23.1,1022,24.44
36,30196,51,15.86,1054,24.44
37,30239,71,19.06,1058,24.34
38,30448,103,22.23,1062,24.34
39,31315,120,23.58,1093,24.34
40,31392,312,55.68,1098,24.44
41,31513,71,19.06,1102,24.34
42,31750,206,35.07,1107,24.34
43,32417,83,20.46,1138,24.34
44,33480,224,38.29,1169,24.34
45,33661,56,16.76,1174,24.34
46,34153,399,87.3,1205,24.34
47,34250,368,72.93,1209,24.44
48,34467,60,17.43,1213,24.23
49,34521,74,19.44,1218,24.34
50,34981,255,43.96,1222,24.34
51,35091,88,20.96,1253,24.44
52,35688,188,32.01,1257,24.34
53,37111,71,19.06,1315,24.34
54,37544,319,57.64,1320,24.34
55,38175,305,53.88,1352,24.44
56,38545,76,19.69,1356,24.44
57,39304,56,16.76,1386,24.34
58,39685,281,48.9,1391,24.34
59,40249,159,27.66,1423,24.34
60,40473,138,25.22,1427,24.34
61,41341,519,154.3,1459,24.44
62,41449,231,39.55,1464,24.23
63,41731,66,18.36,1469,24.34
64,43570,94,21.5,1526,24.44
65,44082,280,48.67,1557,24.23
66,44545,384,80.08,1562,24.44
67,45108,280,48.67,1594,24.23
68,45126,51,15.86,1599,24.34
69,45303,71,19.06,1603,24.44
70,45442,83,20.46,1608,24.34
71,45680,271,46.93,1612,24.23
72,45807,120,23.58,1617,24.34
73,45921,94,21.5,1622,24.44
74,46084,339,62.98,1653,24.34
75,46756,69,18.79,1657,24.44
76,46802,50,15.67,1662,24.34
77,47448,227,38.83,1692,24.44
78,48065,103,22.23,1724,24.44
79,48762,492,134.92,1728,24.34
80,48888,112,22.94,1733,24.44
81,49747,553,176.67,1765,24.34
82,49838,189,32.16,1770,24.34
83,50350,371,73.82,1801,24.34
84,50542,207,35.26,1805,24.34
