career,sem_completed,units_taking,work_hours,sleep_hours,commute_min,coding_exp,data_exp,ds_confidence,think_time,ds_field,color
Research/Science,3,11,40,7,10,1,1,8,Afternoon,Science & Research,Green
Government/Public Service,12,3,40,7,30,1,3,6,Morning,Public Policy & Social Issues,Purple
Not Sure Yet,2,9,32,6,15,1,1,6,Late Night,I'm not sure yet,Purple
administration of justice,2,13,17,7,15,2,2,4,Afternoon,Business & Marketing,Blue 
Engineering,1,12.5,15,5,8,1,1,10,Late Night,Healthcare & Medicine,Purple
Engineering,2,18,8.5,7,15,3,8,8,Evening,Technology,Blue
Business/Finance,2,12,20,7,60,5,6,6,Late Night,Finance & Economics,Black
Not Sure Yet,0,15,8,8,25,1,1,5,Morning,Healthcare & Medicine,Blue
Business/Finance,4,12,0,8,15,1,1,10,Evening,Finance & Economics,Green
Computer Science/AI,1,12,60,8,20,6,5,6,Afternoon,I'm not sure yet,Green
Art Degree ,6,3,8,0,30,4,4,2,Late Night,Art Degree,Green and Orange.
Healthcare,12,14,16,5,8,2,7,5,Evening,Healthcare & Medicine,Blue
Data Science/Analytics,4,12,50,6,6,1,1,7,Late Night,I'm not sure yet,Auburn
Healthcare,4,15,30,9,15,1,1,3,Late Night,Business & Marketing,blue
Data Science/Analytics,4,11,0,6,15,6,5,8,Morning,Climate & Environment,purple i love purple purple purple purple
Not Sure Yet,4,7,30,6,15,3,3,7,Morning,Business & Marketing,Black
Not Sure Yet,2,13,9,5,15,3,6,6,Afternoon,I'm not sure yet,Green!
Not Sure Yet,2,13,30,7,15,1,1,5,Morning,Science & Research,Blue
Government/Public Service,2,14.5,10,8,30,1,6,8,Afternoon,Science & Research,purple
Not Sure Yet,0,7,30,7,10,1,1,5,Late Night,Business & Marketing,"Grey,green"
Healthcare,1,14,25.5,7,30,2,5,4,Late Night,Healthcare & Medicine,Pink
Data Science/Analytics,3,15,35,7,15,1,1,4,Evening,Business & Marketing,Red
Computer Science/AI,2,10,53,8,10,4,1,8,Morning,I'm not sure yet,Maroon
Not Sure Yet,0,4,16,8,30,1,8,5,Afternoon,Business & Marketing,grey
Not Sure Yet,6,12,20,7,90,1,1,5,Evening,Business & Marketing,Atelier Sparkling Blue
Computer Science/AI,2,15,0,8,120,2,3,5,Morning,Science & Research,Turquoise
Government/Public Service,3,17,30,7,10,4,4,4,Evening,Public Policy & Social Issues,Pink or blue
Research/Science,10,16,5,7,15,8,8,10,Morning,Science & Research,Depends
