Event,Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],Temp[C]
1,2537,99,21.91,157,23.69
2,2603,339,62.98,161,23.8
3,4060,423,97.36,220,23.8
4,4294,163,28.2,224,23.69
5,4311,384,80.08,228,23.69
6,4421,88,20.96,232,23.91
7,4439,102,22.15,236,23.69
8,5072,207,35.26,266,23.69
9,5582,398,85.63,270,23.8
10,5591,227,38.83,274,23.8
11,7118,527,155.96,333,23.8
12,7665,384,80.08,338,24.01
13,7978,366,72.41,342,23.8
14,9630,499,141.24,402,23.48
15,12338,504,143.61,496,23.91
16,12598,89,21.05,501,23.91
17,12853,70,18.93,505,23.8
18,13063,110,22.78,536,24.01
19,15031,167,28.76,592,23.69
20,15127,505,145.23,596,23.91
21,15727,280,48.67,601,24.01
22,16074,220,37.58,633,23.91
23,16461,156,27.28,637,23.48
24,17177,364,71.71,668,24.01
25,19671,71,19.06,728,24.12
26,20539,83,20.46,758,23.8
27,21975,49,15.48,789,23.8
28,23502,391,82.35,845,23.69
29,23967,195,33.17,849,23.91
30,24160,530,159.82,880,23.69
31,24553,716,337.96,885,24.01
32,24683,85,20.67,889,23.48
33,25215,76,19.69,920,23.8
34,26695,295,51.75,950,23.48
35,26715,79,20.03,954,24.12
36,26806,179,30.55,958,23.69
37,27072,115,23.18,989,24.01
38,27184,481,129.57,993,23.58
39,27219,307,54.48,998,23.91
40,27932,428,101.58,1002,23.58
41,28429,220,37.58,1035,24.01
42,28437,127,24.18,1039,23.8
43,28746,259,44.69,1044,24.01
44,28981,135,24.92,1049,23.48
45,29368,359,69.86,1081,23.58
46,29502,189,32.16,1085,23.91
47,29651,193,32.84,1089,23.69
48,30105,216,36.85,1120,23.69
49,30328,117,23.34,1124,23.58
50,30386,344,64.67,1129,23.8
51,31038,368,72.93,1161,24.01
52,31247,99,21.91,1165,23.8
53,31748,408,90.57,1169,23.69
54,31806,492,134.92,1173,24.01
55,33135,112,22.94,1238,24.01
56,33195,192,32.67,1243,23.69
57,33290,440,109.25,1247,23.91
58,34340,63,17.91,1280,24.12
59,34984,126,24.09,1285,23.37
60,35655,62,17.75,1317,23.8
61,36001,319,57.64,1322,24.12
62,36573,345,64.98,1352,23.69
63,36614,364,71.71,1356,23.8
64,36806,135,24.92,1360,24.01
65,37372,56,16.76,1392,23.48
66,37729,78,19.92,1397,24.01
67,37799,103,22.23,1401,23.8
68,37984,391,82.35,1405,23.91
69,38614,56,16.76,1438,23.69
70,38800,53,16.22,1443,23.58
71,39367,451,113.08,1473,23.91
72,39453,463,119.23,1477,23.48
73,39679,291,50.97,1482,23.91
74,40434,115,23.18,1514,24.23
75,42181,62,17.75,1572,23.8
76,42299,498,140.86,1577,23.91
77,42333,352,66.89,1582,23.69
78,42734,391,82.35,1586,23.8
79,42867,204,34.73,1590,23.91
80,43258,79,20.03,1621,23.91
81,44078,481,129.57,1652,23.91
82,44208,145,25.96,1657,24.12
83,44607,472,125.87,1662,23.91
84,44858,207,35.26,1667,24.12
85,45453,195,33.17,1698,23.58
86,46177,83,20.46,1729,23.8
87,46344,135,24.92,1733,23.91
88,46750,63,17.91,1738,23.69
89,46931,140,25.42,1743,24.12
90,47577,188,32.01,1775,23.8
91,48318,371,73.82,1806,24.12
92,48389,184,31.36,1810,24.01
93,49182,96,21.67,1841,23.69
94,49927,162,28.06,1845,24.01
95,50381,355,68.3,1876,23.8
96,51042,192,32.67,1908,24.12
97,51317,112,22.94,1912,23.8
98,51633,60,17.43,1917,23.69
99,52780,62,17.75,1948,24.12
100,54154,167,28.76,2005,24.12
101,54684,66,18.36,2009,24.01
102,55276,280,48.67,2041,24.12
103,56246,181,30.87,2074,24.12
104,56514,240,41.21,2078,24.01
105,56869,63,17.91,2083,23.69
106,57415,199,33.86,2115,23.8
107,59429,414,93.93,2173,24.01
108,60233,140,25.42,2206,24.12
109,60927,62,17.75,2211,23.69
110,61699,89,21.05,2243,24.12
111,61869,399,87.3,2247,24.12
112,62032,195,33.17,2279,23.8
113,62780,169,29.05,2283,23.91
114,63060,71,19.06,2314,23.91
115,64122,101,22.08,2345,24.01
116,64195,85,20.67,2349,23.91
117,64496,387,81.05,2353,23.69
118,65097,230,39.39,2385,24.34
119,65236,69,18.79,2390,24.23
120,65547,126,24.09,2395,24.12
121,65640,627,249.17,2400,23.8
122,66120,384,80.08,2435,24.23
123,66200,163,28.2,2439,23.69
124,66332,96,21.67,2444,24.12
125,66434,384,80.08,2448,24.01
126,67542,287,50.23,2480,23.8
127,67699,255,43.96,2485,24.23
128,67765,73,19.32,2489,24.01
129,68221,193,32.84,2521,24.01
130,68230,135,24.92,2525,23.91
131,68434,60,17.43,2530,24.01
132,68810,440,109.25,2535,23.8
133,69195,216,36.85,2568,23.91
134,70131,224,38.29,2599,24.23
135,70164,199,33.86,2604,23.91
136,70487,513,148.53,2609,24.01
137,70592,527,155.96,2614,23.8
138,70614,108,22.63,2619,23.48
139,72346,63,17.91,2678,24.01
140,72592,62,17.75,2683,23.69
141,74080,504,143.61,2740,24.12
142,74618,99,21.91,2745,23.8
143,74798,51,15.86,2749,23.8
144,74871,57,16.93,2753,23.91
145,75926,126,24.09,2784,24.01
146,77220,304,53.73,2843,23.8
147,78640,103,22.23,2875,24.01
148,79781,152,26.78,2906,23.8
149,79886,134,24.82,2910,24.01
150,80083,146,26.08,2942,24.12
151,80554,67,18.51,2947,24.01
152,80613,349,66.33,2952,24.12
153,80837,377,76.28,2956,23.8
154,80942,192,32.67,2960,23.8
155,81865,131,24.54,2991,23.8
156,82476,777,596.45,3023,24.01
157,82504,156,27.28,3027,23.91
158,82792,76,19.69,3032,24.23
159,83174,359,69.86,3063,24.23
160,83621,227,38.83,3067,23.8
161,84393,409,91.12,3099,24.23
162,84807,179,30.55,3103,23.91
163,85443,51,15.86,3134,23.91
164,85471,50,15.67,3138,23.91
165,85848,141,25.53,3142,23.8
166,85865,94,21.5,3147,23.91
167,86704,352,66.89,3178,24.01
168,87399,88,20.96,3210,23.8
169,88128,140,25.42,3241,23.8
170,89118,537,162.17,3273,23.69
171,89633,76,19.69,3278,23.91
172,89958,79,20.03,3282,24.01
173,89998,408,90.57,3286,23.91
174,90360,248,42.69,3317,23.8
175,90474,71,19.06,3322,23.91
176,90866,366,72.41,3327,23.8
177,91240,504,143.61,3359,24.34
178,91405,588,183.26,3364,24.01
179,91790,71,19.06,3369,24.12
180,91990,327,59.28,3374,24.12
181,92714,152,26.78,3406,23.91
182,93342,57,16.93,3437,24.12
183,93693,184,31.36,3442,24.01
184,96864,185,31.51,3527,24.01
185,96883,135,24.92,3531,23.91
186,98735,236,40.44,3590,23.8
187,98802,472,125.87,3595,24.12
188,98989,51,15.86,3600,24.23
189,99348,99,21.91,3631,24.01
190,100327,131,24.54,3662,23.91
191,100602,156,27.28,3667,23.69
192,100710,235,40.29,3672,23.91
193,102405,88,20.96,3731,24.01
194,102490,153,26.9,3735,23.8
195,103303,462,120.87,3767,23.8
196,103882,177,30.25,3772,23.8
197,104375,105,22.39,3803,24.01
198,105110,252,43.42,3834,24.23
199,105163,412,92.93,3839,24.01
200,105689,63,17.91,3843,23.91
201,106811,551,164.56,3875,24.23
202,106828,88,20.96,3880,23.8
203,107032,71,19.06,3912,24.12
204,107091,353,67.64,3917,23.69
205,107868,185,31.51,3921,24.12
206,107992,423,97.36,3925,23.91
207,108250,60,17.43,3956,23.8
208,111218,252,43.42,4041,24.12
209,111375,235,40.29,4046,23.91
210,111484,359,69.86,4051,24.01
211,112084,295,51.75,4083,23.91
212,112483,63,17.91,4088,24.12
213,114083,286,49.78,4146,23.91
214,114558,90,21.14,4151,23.91
215,114731,326,59.13,4155,24.01
216,115170,421,97.33,4188,24.23
