Event,Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],Temp[C]
1,2909,463,119.23,0,24.44
2,5728,396,85.28,5,24.44
3,6109,216,36.85,10,24.44
4,6977,211,35.96,15,24.44
5,7600,202,34.38,20,24.44
6,7804,153,26.9,25,24.44
7,9729,110,22.78,30,24.44
8,10395,127,24.18,35,24.44
9,11247,307,54.48,40,24.44
10,11370,473,126.29,45,24.44
11,12680,387,81.05,50,24.44
12,12723,103,22.23,55,24.44
13,13488,323,58.48,60,24.44
14,15337,143,25.74,65,24.44
15,16369,220,37.58,70,24.44
16,16446,159,27.66,75,24.44
17,17871,451,113.08,80,24.44
18,18886,432,101.61,85,24.44
19,18898,120,23.58,90,24.44
20,19923,319,57.64,95,24.44
21,20170,344,64.67,100,24.44
22,21198,440,109.25,105,24.44
23,22139,448,112.41,110,24.44
24,22835,287,50.23,115,24.44
25,24898,263,45.37,120,24.44
26,27059,355,68.3,125,24.44
27,27414,253,43.55,130,24.44
28,27701,399,87.3,135,24.44
29,27743,71,19.06,140,24.44
30,27819,199,33.86,145,24.44
31,28119,268,46.26,150,24.44
32,28907,274,47.52,155,24.44
33,30118,334,61.44,160,24.44
34,30512,76,19.69,165,24.44
35,31285,71,19.06,170,24.44
36,32106,334,61.44,175,24.44
37,32600,71,19.06,180,24.44
38,32640,271,46.93,185,24.44
39,32788,179,30.55,190,24.44
40,33335,271,46.93,195,24.44
41,33452,435,104.92,200,24.44
42,35230,455,117.03,205,24.44
43,38647,271,46.93,210,24.44
44,40664,391,82.35,215,24.44
45,41247,307,54.48,220,24.44
46,43523,409,91.12,225,24.44
47,44482,152,26.78,230,24.44
48,44909,316,56.81,235,24.44
49,45130,121,23.66,240,24.44
50,46245,255,43.96,245,24.44
51,46528,262,45.24,250,24.44
52,47347,344,64.67,255,24.44
53,48924,140,25.42,260,24.44
54,51118,440,109.25,265,24.44
55,51649,249,42.85,270,24.44
56,52003,56,16.76,275,24.44
57,52746,71,19.06,280,24.44
58,53695,704,326.52,285,24.44
59,54234,465,122.12,290,24.44
60,54797,71,19.06,295,24.44
61,56356,199,33.86,300,24.44
62,56417,226,38.63,305,24.44
63,56796,186,31.68,310,24.44
64,57111,207,35.26,315,24.44
65,59480,319,57.64,320,24.44
66,60554,448,112.41,325,24.44
67,61383,440,109.25,330,24.44
68,65882,430,101.41,335,24.44
69,67585,480,130.21,340,24.44
70,67778,287,50.23,345,24.44
71,68275,444,109.09,350,24.44
72,71232,467,121.56,355,24.44
73,71737,513,148.53,360,24.44
74,71925,281,48.9,365,24.44
75,72131,92,21.32,370,24.44
76,76029,440,109.25,375,24.44
77,78658,204,34.73,380,24.44
78,80758,295,51.75,385,24.44
79,80939,231,39.55,390,24.44
80,87657,453,113.81,395,24.44
81,88120,113,23.02,400,24.44
82,88146,275,47.73,405,24.44
83,88520,57,16.93,410,24.44
84,89137,287,50.23,415,24.44
85,90421,280,48.67,420,24.44
86,90728,465,122.12,425,24.44
87,90901,291,50.97,430,24.44
88,91828,399,87.3,435,24.44
89,94346,255,43.96,440,24.44
90,97451,163,28.2,445,24.44
91,98665,207,35.26,450,24.44
92,101663,428,101.58,455,24.44
93,101705,252,43.42,460,24.44
94,102004,179,30.55,465,24.44
95,102734,216,36.85,470,24.44
96,102785,152,26.78,475,24.44
97,103072,152,26.78,480,24.44
98,107559,81,20.25,485,24.44
99,109020,115,23.18,490,24.44
100,111748,74,19.44,495,24.44
101,113787,142,25.64,500,24.44
102,114456,181,30.87,505,24.44
103,114831,550,172.2,510,24.44
104,115228,409,91.12,515,24.44
105,116331,131,24.54,520,24.44
106,116343,222,37.96,526,24.44
107,121108,312,55.68,531,24.44
108,121493,568,189.84,536,24.44
109,121874,423,97.36,541,24.44
110,122112,515,147.53,546,24.44
111,123696,195,33.17,551,24.44
112,125308,255,43.96,556,24.44
113,127261,102,22.15,561,24.44
114,128423,178,30.4,566,24.44
115,129448,153,26.9,571,24.44
116,129567,387,81.05,576,24.44
117,131337,359,69.86,581,24.44
118,132156,134,24.82,586,24.44
119,132896,103,22.23,592,24.44
120,134960,453,113.81,597,24.44
121,136988,165,28.48,602,24.44
122,142222,192,32.67,607,24.44
123,142242,284,49.41,612,24.44
124,143233,125,24,617,24.44
125,144007,285,49.78,622,24.66
126,144621,103,22.23,627,24.44
127,146460,236,40.44,632,24.44
128,148337,408,90.57,637,24.44
129,150854,403,88.99,642,24.44
130,154783,88,20.96,647,24.44
131,154943,334,61.44,652,24.44
132,156043,167,28.76,657,24.44
133,156797,178,30.4,662,24.44
134,157186,222,37.96,667,24.44
135,158612,56,16.76,672,24.66
136,158967,319,57.64,677,24.44
137,160221,185,31.51,682,24.44
138,162531,103,22.23,687,24.44
139,165053,220,37.58,692,24.66
140,167294,231,39.55,697,24.44
141,168974,399,87.3,702,24.44
142,169145,313,56.02,707,24.44
143,169223,234,40.06,712,24.44
144,170112,61,17.6,717,24.44
145,170159,387,81.05,722,24.44
146,171286,142,25.64,727,24.44
147,173637,159,27.66,732,24.44
148,175630,291,50.97,737,24.44
149,176802,121,23.66,742,24.44
150,177375,384,80.08,747,24.44
151,177709,302,53.3,752,24.66
152,179196,465,122.12,757,24.44
153,180224,240,41.21,762,24.66
154,181657,143,25.74,767,24.44
155,184309,63,17.91,772,24.44
156,185163,78,19.92,777,24.44
157,187235,384,80.08,782,24.44
158,187448,359,69.86,787,24.66
159,188043,458,117.59,792,24.77
160,189840,337,62.3,797,24.44
161,193132,242,41.58,802,24.44
162,193863,313,56.02,807,24.44
163,194278,319,57.64,812,24.44
164,194902,263,45.37,817,24.44
165,195516,259,44.69,823,24.44
166,196122,226,38.63,829,24.44
167,196880,222,37.96,834,24.44
168,197671,376,76.43,839,24.66
169,200471,433,104.37,844,24.66
170,202536,350,66.46,849,24.44
171,203739,163,28.2,854,24.44
172,204251,124,23.92,859,24.44
173,204937,79,20.03,864,24.44
174,205624,448,112.41,869,24.44
175,207396,396,85.28,874,24.44
176,208217,455,117.03,879,24.44
177,208869,304,53.73,884,24.66
178,209582,79,20.03,889,24.44
179,209825,108,22.63,894,24.44
180,210886,176,30.09,899,24.44
181,213403,348,65.64,904,24.44
182,216236,391,82.35,909,24.44
183,217289,345,64.98,914,24.77
184,217427,307,54.48,919,24.44
185,217831,274,47.52,924,24.44
186,218440,174,29.79,929,24.44
187,219966,273,47.25,934,24.44
188,220661,402,87.25,939,24.44
189,222008,345,64.98,944,24.44
190,222104,428,101.58,949,24.44
191,222679,83,20.46,954,24.44
192,226484,221,37.76,959,24.44
193,229028,344,64.67,964,24.66
194,231360,193,32.84,969,24.44
195,232497,380,78.12,974,24.66
196,233030,99,21.91,979,24.87
197,234919,157,27.4,984,24.66
198,235024,227,38.83,989,24.44
199,235672,181,30.87,994,24.44
200,236184,248,42.69,999,24.44
201,236900,89,21.05,1005,24.77
202,237926,345,64.98,1010,24.44
203,238543,170,29.19,1015,24.44
204,239011,271,46.93,1020,24.66
205,240302,291,50.97,1026,24.44
206,240733,339,62.98,1031,24.44
207,241940,295,51.75,1036,24.66
208,250830,62,17.75,1041,24.44
209,250943,399,87.3,1047,24.44
210,251536,299,52.61,1052,24.66
211,251855,455,117.03,1057,24.66
212,252024,339,62.98,1062,24.44
213,253546,216,36.85,1067,24.87
214,254501,327,59.28,1072,24.44
215,254751,353,67.64,1077,24.44
216,256568,248,42.69,1082,24.44
217,257879,418,96.6,1088,24.44
218,259410,250,43.04,1093,24.66
219,260050,335,61.77,1099,24.44
220,260504,184,31.36,1104,24.77
221,260917,286,49.78,1109,24.44
222,261870,455,117.03,1114,24.44
223,262254,189,32.16,1119,24.44
224,263961,335,61.77,1124,24.44
225,266745,463,119.23,1129,24.44
226,267000,266,46,1135,24.44
227,268269,192,32.67,1141,24.44
228,270301,115,23.18,1146,24.44
229,270941,174,29.79,1151,24.44
230,271540,255,43.96,1156,24.44
231,272040,396,85.28,1161,24.66
232,272467,112,22.94,1166,24.44
233,272664,211,35.96,1171,24.44
234,272964,364,71.71,1176,24.44
235,273357,240,41.21,1181,24.77
