Event,Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],Temp[C]
517,676828,195,33.17,2646,24.44
518,677496,486,135.98,2651,24.44
519,677729,280,48.67,2657,24.44
520,678756,463,119.23,2663,24.44
521,680158,206,35.07,2669,24.44
522,682174,238,40.82,2674,24.44
523,684556,355,68.3,2680,24.44
524,685260,399,87.3,2685,24.44
525,685267,435,104.92,2690,24.44
526,685588,127,24.18,2695,24.44
527,685711,245,42.08,2700,24.44
528,686009,177,30.25,2706,24.44
529,686887,511,149.39,2711,24.44
530,686985,423,97.36,2716,24.44
531,688150,192,32.67,2721,24.44
532,690611,377,76.28,2726,24.44
533,692710,371,73.82,2731,24.44
534,692939,312,55.68,2736,24.44
535,693313,527,155.96,2741,24.44
536,694978,409,91.12,2747,24.44
537,696356,195,33.17,2752,24.44
538,696980,448,112.41,2757,24.44
539,701120,198,33.69,2762,24.44
540,703834,335,61.77,2767,24.44
541,704079,364,71.71,2772,24.44
542,704424,449,112.05,2777,24.44
543,705080,348,65.64,2782,24.44
544,706398,448,112.41,2787,24.44
545,706506,176,30.09,2792,24.44
546,707558,266,46,2797,24.44
547,709069,207,35.26,2803,24.44
548,710661,110,22.78,2808,24.44
549,712128,359,69.86,2813,24.44
550,712414,326,59.13,2818,24.44
551,714687,78,19.92,2823,24.44
552,715168,207,35.26,2828,24.44
553,715400,51,15.86,2833,24.44
554,717285,189,32.16,2838,24.44
555,720914,271,46.93,2843,24.44
556,721218,448,112.41,2849,24.44
557,722800,448,112.41,2854,24.44
558,723883,327,59.28,2859,24.44
559,723938,177,30.25,2864,24.44
560,724985,441,109.77,2869,24.44
561,725040,370,73.62,2874,24.44
562,725281,153,26.9,2879,24.44
563,725713,243,41.74,2884,24.44
564,726990,113,23.02,2890,24.44
565,727639,108,22.63,2895,24.44
566,728904,270,46.71,2900,24.44
567,729363,300,52.79,2906,24.44
568,731126,210,35.78,2911,24.44
569,731290,337,62.3,2916,24.44
